CONCEPT_A	CONCEPT_B	OSM_URI_A	OSM_URI_B	QUESTION	VECTOR_MEASURE	TERM_MEASURE	CORPUS	INCLUDED_POS	PAIRS_AB	PAIRS_BA	HUMAN_SIM	MACHINE_SIM_AB	MACHINE_SIM_BA	MACHINE_SIM
railway	path	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	jcn	Null	VB JJ	5	16	0.545454545	1	0.758204645	0.879102322
subway station	path	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	jcn	Null	VB JJ	11	19	0.363636364	0.696312005	0.559919532	0.628115769
port	path	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	jcn	Null	VB JJ	13	16	0.181818182	0.63861249	0.562083425	0.600347958
airport	path	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	jcn	Null	VB JJ	3	16	0.090909091	1	0.281085475	0.640542738
road	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lch	Null	VB JJ	18	35	0.909090909	0.722746596	0.587240239	0.654993418
travelway	path	http://wiki.openstreetmap.org/wiki/Key:highway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lch	Null	VB JJ	41	35	0.818181818	0.515596145	0.591507396	0.553551771
bridge	path	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lch	Null	VB JJ	19	35	0.727272727	0.564311637	0.587652456	0.575982047
highway	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lch	Null	VB JJ	8	35	0.636363636	0.441760514	0.519608918	0.480684716
railway	path	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lch	Null	VB JJ	6	35	0.545454545	0.880963194	0.612553472	0.746758333
subway station	path	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lch	Null	VB JJ	15	35	0.363636364	0.653900636	0.590943308	0.622421972
port	path	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lch	Null	VB JJ	16	35	0.181818182	0.674918597	0.546758772	0.610838685
airport	path	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lch	Null	VB JJ	5	35	0.090909091	0.644842623	0.481755653	0.563299138
road	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lin	Null	VB JJ	18	35	0.909090909	0.605891293	0.426621045	0.516256169
travelway	path	http://wiki.openstreetmap.org/wiki/Key:highway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lin	Null	VB JJ	41	35	0.818181818	0.47321765	0.512269085	0.492743367
bridge	path	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lin	Null	VB JJ	19	35	0.727272727	0.554377021	0.562898394	0.558637707
highway	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lin	Null	VB JJ	8	35	0.636363636	0.102192221	0.318820777	0.210506499
railway	path	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lin	Null	VB JJ	6	35	0.545454545	0.993454196	0.578677351	0.786065774
subway station	path	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lin	Null	VB JJ	15	35	0.363636364	0.557683368	0.451672157	0.504677763
port	path	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lin	Null	VB JJ	16	35	0.181818182	0.530961263	0.404027306	0.467494285
airport	path	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lin	Null	VB JJ	5	35	0.090909091	0.669837903	0.325618188	0.497728045
road	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	res	Null	VB JJ	18	35	0.909090909	0.519924032	0.405173139	0.462548586
travelway	path	http://wiki.openstreetmap.org/wiki/Key:highway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	res	Null	VB JJ	41	35	0.818181818	0.444261562	0.462215912	0.453238737
bridge	path	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	res	Null	VB JJ	19	35	0.727272727	0.494115633	0.471072049	0.482593841
highway	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	res	Null	VB JJ	8	35	0.636363636	0.284693516	0.304665007	0.294679262
railway	path	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	res	Null	VB JJ	6	35	0.545454545	0.886970763	0.495011255	0.690991009
subway station	path	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	res	Null	VB JJ	15	35	0.363636364	0.473596642	0.395158636	0.434377639
port	path	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	res	Null	VB JJ	16	35	0.181818182	0.475837084	0.379524067	0.427680576
airport	path	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	res	Null	VB JJ	5	35	0.090909091	0.589556083	0.250098181	0.419827132
road	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	wup	Null	VB JJ	18	35	0.909090909	0.775436748	0.65747528	0.716456014
travelway	path	http://wiki.openstreetmap.org/wiki/Key:highway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	wup	Null	VB JJ	41	35	0.818181818	0.59256688	0.685067102	0.638816991
bridge	path	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	wup	Null	VB JJ	19	35	0.727272727	0.631381393	0.695391803	0.663386598
highway	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	wup	Null	VB JJ	8	35	0.636363636	0.523459384	0.568577463	0.546018423
railway	path	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	wup	Null	VB JJ	6	35	0.545454545	0.984126984	0.70607349	0.845100237
subway station	path	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	wup	Null	VB JJ	15	35	0.363636364	0.718720291	0.613943352	0.666331822
port	path	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	wup	Null	VB JJ	16	35	0.181818182	0.726989899	0.622631674	0.674810786
airport	path	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	wup	Null	VB JJ	5	35	0.090909091	0.733333333	0.513632695	0.623483014
road	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lesk	Null	VB JJ	14	16	0.909090909	0.036586991	0.033274694	0.034930842
travelway	path	http://wiki.openstreetmap.org/wiki/Key:highway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lesk	Null	VB JJ	20	16	0.818181818	0.042058691	0.033364656	0.037711673
bridge	path	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lesk	Null	VB JJ	10	16	0.727272727	0.05147592	0.033589744	0.042532832
highway	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lesk	Null	VB JJ	3	16	0.636363636	0.01609375	0.030870119	0.023481935
railway	path	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lesk	Null	VB JJ	5	16	0.545454545	0.036898082	0.033324592	0.035111337
subway station	path	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lesk	Null	VB JJ	11	19	0.363636364	0.021614583	0.028586002	0.025100293
port	path	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lesk	Null	VB JJ	13	16	0.181818182	0.022561338	0.032520032	0.027540685
airport	path	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	lesk	Null	VB JJ	3	16	0.090909091	0.019772727	0.002956002	0.011364365
road	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	path	Null	VB JJ	14	16	0.909090909	0.775862069	0.709401709	0.742631889
travelway	path	http://wiki.openstreetmap.org/wiki/Key:highway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	path	Null	VB JJ	20	16	0.818181818	0.756439394	0.657692308	0.707065851
bridge	path	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	path	Null	VB JJ	10	16	0.727272727	0.861111111	0.752380952	0.806746032
highway	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	path	Null	VB JJ	3	16	0.636363636	0.444444444	0.537281237	0.490862841
railway	path	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	path	Null	VB JJ	5	16	0.545454545	1	0.753235653	0.876617827
subway station	path	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	path	Null	VB JJ	11	19	0.363636364	0.712962963	0.577038239	0.645000601
port	path	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	path	Null	VB JJ	13	16	0.181818182	0.635606061	0.654090354	0.644848207
airport	path	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	path	Null	VB JJ	3	16	0.090909091	1	0.409218559	0.70460928
road	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vector	Null	VB JJ	14	16	0.909090909	0.84979218	0.823857546	0.836824863
travelway	path	http://wiki.openstreetmap.org/wiki/Key:highway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vector	Null	VB JJ	20	16	0.818181818	0.805763663	0.726461158	0.766112411
bridge	path	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vector	Null	VB JJ	10	16	0.727272727	0.894763095	0.788714776	0.841738935
highway	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vector	Null	VB JJ	3	16	0.636363636	0.475208849	0.559621781	0.517415315
railway	path	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vector	Null	VB JJ	5	16	0.545454545	1	0.784236861	0.892118431
subway station	path	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vector	Null	VB JJ	11	19	0.363636364	0.798746157	0.653861027	0.726303592
port	path	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vector	Null	VB JJ	13	16	0.181818182	0.746873472	0.81257739	0.779725431
airport	path	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vector	Null	VB JJ	3	16	0.090909091	1	0.528971866	0.764485933
road	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Droad	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vectorp	Null	VB JJ	14	16	0.909090909	0.586374643	0.542553082	0.564463862
travelway	path	http://wiki.openstreetmap.org/wiki/Key:highway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vectorp	Null	VB JJ	20	16	0.818181818	0.536185466	0.485705076	0.510945271
bridge	path	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vectorp	Null	VB JJ	10	16	0.727272727	0.65240021	0.525739676	0.589069943
highway	path	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dprimary	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vectorp	Null	VB JJ	3	16	0.636363636	0.231858534	0.36579089	0.298824712
railway	path	http://wiki.openstreetmap.org/wiki/Key:railway	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vectorp	Null	VB JJ	5	16	0.545454545	0.758673345	0.509362721	0.634018033
subway station	path	http://wiki.openstreetmap.org/wiki/Tag:public_transport%3Dstation	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vectorp	Null	VB JJ	11	19	0.363636364	0.470661161	0.39489818	0.432779671
port	path	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddock	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vectorp	Null	VB JJ	13	16	0.181818182	0.461793897	0.517296301	0.489545099
airport	path	http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome	http://wiki.openstreetmap.org/wiki/Tag:highway%3Dpath	B4	com	vectorp	Null	VB JJ	3	16	0.090909091	0.767783189	0.263821097	0.515802143
forest	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwood	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	hso	Null	VB JJ	5	4	0.272727273	0.4375	0.4625	0.45
city	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcity	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	hso	Null	VB JJ	3	4	0.090909091	0.671875	0.425	0.5484375
river	lake	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Driver	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	hso	Null	VB JJ	5	4	0.727272727	0.5	0.4625	0.48125
beach	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbeach	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	hso	Null	VB JJ	5	4	0.5	0.65	0.45	0.55
island	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Disland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	hso	Null	VB JJ	7	4	0.5	0.432291667	0.4625	0.447395833
wetland	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	hso	Null	VB JJ	5	4	0.636363636	0.678571429	0.675	0.676785714
bridge	lake	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	hso	Null	VB JJ	10	4	0.363636364	0.711309524	1	0.855654762
pond	lake	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dpond	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	hso	Null	VB JJ	7	4	0.909090909	0.73125	0.8625	0.796875
mountain	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dpeak	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	hso	Null	VB JJ	2	4	0.181818182	0.1875	0.15	0.16875
forest	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwood	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	jcn	Null	VB JJ	5	4	0.272727273	0.322948422	0.36850959	0.345729006
city	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcity	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	jcn	Null	VB JJ	3	4	0.090909091	0.716129491	0.470961993	0.593545742
river	lake	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Driver	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	jcn	Null	VB JJ	5	4	0.727272727	0.49505886	0.470961993	0.483010427
beach	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbeach	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	jcn	Null	VB JJ	5	4	0.5	0.6362187	0.372168062	0.504193381
island	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Disland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	jcn	Null	VB JJ	7	4	0.5	0.424502386	0.367378483	0.395940435
wetland	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	jcn	Null	VB JJ	5	4	0.636363636	0.624662943	0.647027441	0.635845192
bridge	lake	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	jcn	Null	VB JJ	10	4	0.363636364	0.675852494	1	0.837926247
pond	lake	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dpond	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	jcn	Null	VB JJ	7	4	0.909090909	0.708344104	0.819740037	0.76404207
mountain	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dpeak	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	jcn	Null	VB JJ	2	4	0.181818182	0.11826288	0.10863425	0.113448565
forest	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwood	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lch	Null	VB JJ	11	5	0.272727273	0.231949866	0.541216354	0.38658311
city	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcity	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lch	Null	VB JJ	11	5	0.090909091	0.208501592	0.541216354	0.374858973
river	lake	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Driver	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lch	Null	VB JJ	13	5	0.727272727	0.308905259	0.541216354	0.425060806
beach	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbeach	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lch	Null	VB JJ	12	5	0.5	0.439205371	0.577854861	0.508530116
island	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Disland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lch	Null	VB JJ	12	5	0.5	0.448181048	0.541216354	0.494698701
wetland	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lch	Null	VB JJ	11	5	0.636363636	0.356782466	0.640488802	0.498635634
bridge	lake	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lch	Null	VB JJ	19	5	0.363636364	0.503603529	0.752758968	0.628181248
pond	lake	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dpond	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lch	Null	VB JJ	11	5	0.909090909	0.558091184	0.690125027	0.624108105
mountain	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dpeak	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lch	Null	VB JJ	3	5	0.181818182	0.331507783	0.429507448	0.380507615
forest	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwood	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lin	Null	VB JJ	11	5	0.272727273	0.168734039	0.295827491	0.232280765
city	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcity	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lin	Null	VB JJ	11	5	0.090909091	0.194854075	0.32046852	0.257661297
river	lake	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Driver	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lin	Null	VB JJ	13	5	0.727272727	0.35364912	0.32046852	0.33705882
beach	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbeach	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lin	Null	VB JJ	12	5	0.5	0.298655138	0.257336247	0.277995693
island	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Disland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lin	Null	VB JJ	12	5	0.5	0.354842102	0.295827491	0.325334797
wetland	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lin	Null	VB JJ	11	5	0.636363636	0.337242592	0.604553027	0.47089781
bridge	lake	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lin	Null	VB JJ	19	5	0.363636364	0.454551128	0.833333333	0.643942231
pond	lake	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dpond	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lin	Null	VB JJ	11	5	0.909090909	0.530122155	0.666666667	0.598394411
mountain	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dpeak	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	lin	Null	VB JJ	3	5	0.181818182	0.180440623	0.17167163	0.176056127
forest	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwood	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	res	Null	VB JJ	11	5	0.272727273	0.168468989	0.256713421	0.212591205
city	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcity	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	res	Null	VB JJ	11	5	0.090909091	0.167160892	0.265223621	0.216192256
river	lake	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Driver	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	res	Null	VB JJ	13	5	0.727272727	0.287369298	0.265223621	0.27629646
beach	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbeach	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	res	Null	VB JJ	12	5	0.5	0.344286836	0.30347144	0.323879138
island	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Disland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	res	Null	VB JJ	12	5	0.5	0.345313117	0.256713421	0.301013269
wetland	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	res	Null	VB JJ	11	5	0.636363636	0.32847164	0.547131111	0.437801375
bridge	lake	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	res	Null	VB JJ	19	5	0.363636364	0.40874072	0.740594709	0.574667715
pond	lake	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dpond	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	res	Null	VB JJ	11	5	0.909090909	0.47907247	0.669855148	0.574463809
mountain	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dpeak	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	res	Null	VB JJ	3	5	0.181818182	0.123868595	0.123868595	0.123868595
forest	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwood	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	wup	Null	VB JJ	11	5	0.272727273	0.279761905	0.611111111	0.445436508
city	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Dcity	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	wup	Null	VB JJ	11	5	0.090909091	0.224761905	0.466666667	0.345714286
river	lake	http://wiki.openstreetmap.org/wiki/Tag:waterway%3Driver	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	wup	Null	VB JJ	13	5	0.727272727	0.37688172	0.555555556	0.466218638
beach	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbeach	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	wup	Null	VB JJ	12	5	0.5	0.457671958	0.579365079	0.518518518
island	lake	http://wiki.openstreetmap.org/wiki/Tag:place%3Disland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	wup	Null	VB JJ	12	5	0.5	0.465909091	0.541666667	0.503787879
wetland	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwetland	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	wup	Null	VB JJ	11	5	0.636363636	0.404761905	0.705555556	0.55515873
bridge	lake	http://wiki.openstreetmap.org/wiki/Key:bridge	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	wup	Null	VB JJ	19	5	0.363636364	0.53412274	0.833333333	0.683728037
pond	lake	http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dpond	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	wup	Null	VB JJ	11	5	0.909090909	0.630692277	0.761904762	0.696298519
mountain	lake	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dpeak	http://wiki.openstreetmap.org/wiki/Tag:natural%3Dwater	AB5	com	wup	Null	VB JJ	3	5	0.181818182	0.398148148	0.463596491	0.43087232
