id	expertise	gender	continent	lang	QA-pairs [1]	QA-pairs [2]	QA-pairs [3]	QA-pairs [4]	QA-pairs [5]	QA-pairs [6]	QA-pairs [7]	QA-pairs [8]	QA-pairs [9]	QA-pairs [10]	QA-pairs [11]	QA-pairs [12]	QA-pairs [13]	QA-pairs [14]	QA-pairs [15]	QA-pairs [16]	QA-pairs [17]	QA-pairs [18]	QA-pairs [19]	QA-pairs [20]	QA-pairs [21]	QA-pairs [22]	QA-pairs [23]	QA-pairs [24]	QA-pairs [25]	QA-pairs [26]	QA-pairs [27]	QA-pairs [28]	QA-pairs [29]	QA-pairs [30]	QA-pairs [31]	QA-pairs [32]	QA-pairs [33]	QA-pairs [34]	QA-pairs [35]	QA-pairs [36]	QA-pairs [37]	QA-pairs [38]	QA-pairs [39]	QA-pairs [40]	QA-pairs [41]	QA-pairs [42]	QA-pairs [43]	QA-pairs [44]	QA-pairs [45]	QA-pairs [46]	QA-pairs [47]	QA-pairs [48]	QA-pairs [49]	QA-pairs [50]	age
64	Expert	Male	Europe	No	5. very similar	3	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	4	1. very dissimilar	2	4	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	2	4	5. very similar	4	2	4	5. very similar	2	1. very dissimilar	2	2	2	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	3	2	4	1. very dissimilar	2	5. very similar	5. very similar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	26-35
65	Expert	Male	Europe	Yes	5. very similar	2	1. very dissimilar	4	3	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	3	2	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	4	3	2	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	4	1. very dissimilar	2	4	2	1. very dissimilar	4	3	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	36-45
66	Frequent user	Male	North America	Yes	4	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	3	5. very similar	2	3	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	1. very dissimilar	4	4	4	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	2	3	3	4	1. very dissimilar	5. very similar	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	18-25
67	Expert	Male	Europe	Yes	5. very similar	4	2	4	3	1. very dissimilar	5. very similar	5. very similar	3	3	2	3	3	4	1. very dissimilar	2	1. very dissimilar	4	3	1. very dissimilar	2	4	5. very similar	3	2	2	5. very similar	2	1. very dissimilar	2	2	4	4	1. very dissimilar	1. very dissimilar	4	4	3	2	2	3	5. very similar	2	2	5. very similar	4	1. very dissimilar	4	2	3	36-45
68	Expert	Male	Africa	Yes	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
69	Frequent user	Male	Europe	Yes	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	5. very similar	1. very dissimilar	2	4	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	4	2	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	2	5. very similar	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	5. very similar	3	1. very dissimilar	4	4	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	46-55
70	Frequent user	Male	Europe	No	no answer	3	1. very dissimilar	3	no answer	1. very dissimilar	2	4	1. very dissimilar	no answer	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	3	4	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	26-35
71	Expert	Male	Europe	No	5. very similar	4	3	5. very similar	4	2	5. very similar	5. very similar	2	5. very similar	4	4	4	3	1. very dissimilar	1. very dissimilar	2	5. very similar	5. very similar	1. very dissimilar	2	5. very similar	5. very similar	5. very similar	2	4	5. very similar	3	1. very dissimilar	3	2	2	4	1. very dissimilar	3	5. very similar	5. very similar	3	5. very similar	2	4	5. very similar	4	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	1. very dissimilar	2	26-35
72	Frequent user	Male	North America	Yes	3	1. very dissimilar	2	5. very similar	3	1. very dissimilar	4	4	1. very dissimilar	3	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	3	3	3	3	1. very dissimilar	2	5. very similar	2	1. very dissimilar	2	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	4	3	2	2	1. very dissimilar	2	4	4	1. very dissimilar	4	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
73	Expert	Male	Europe	No	3	2	1. very dissimilar	4	2	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	2	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	5. very similar	1. very dissimilar	2	2	2	5. very similar	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	4	1. very dissimilar	2	4	3	1. very dissimilar	5. very similar	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	36-45
74	Expert	Male	Europe	Yes	4	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	2	2	3	2	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	5. very similar	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	46-55
75	Expert	Male	Europe	Yes	3	2	2	4	3	1. very dissimilar	3	4	2	3	2	2	2	2	1. very dissimilar	1. very dissimilar	2	4	2	1. very dissimilar	1. very dissimilar	3	3	2	1. very dissimilar	3	4	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	3	2	2	2	1. very dissimilar	4	3	1. very dissimilar	4	2	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	26-35
76	Expert	Male	Europe	No	4	3	2	5. very similar	3	1. very dissimilar	4	3	3	3	2	3	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	2	1. very dissimilar	3	2	3	1. very dissimilar	3	5. very similar	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	4	2	1. very dissimilar	1. very dissimilar	3	5. very similar	3	1. very dissimilar	4	3	1. very dissimilar	3	1. very dissimilar	2	26-35
77	Never used	Male	Europe	No	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	56-65
78	Frequent user	Female	North America	Yes	4	3	3	4	2	2	5. very similar	5. very similar	3	4	4	2	2	2	2	1. very dissimilar	2	3	4	1. very dissimilar	2	4	4	3	1. very dissimilar	3	5. very similar	2	1. very dissimilar	3	2	2	3	1. very dissimilar	2	4	3	3	3	1. very dissimilar	2	5. very similar	3	2	5. very similar	4	2	4	2	1. very dissimilar	18-25
79	Expert	Male	North America	Yes	4	4	3	5. very similar	4	2	5. very similar	5. very similar	3	4	2	4	4	3	3	1. very dissimilar	2	4	5. very similar	2	2	4	5. very similar	3	2	4	5. very similar	3	1. very dissimilar	3	2	3	5. very similar	2	3	5. very similar	5. very similar	4	1. very dissimilar	3	2	5. very similar	4	3	5. very similar	5. very similar	2	5. very similar	2	2	18-25
80	Expert	Male	Europe	Yes	3	2	1. very dissimilar	3	3	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	2	3	2	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	2	3	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	26-35
81	Frequent user	Female	South America	No	3	5. very similar	3	2	5. very similar	4	3	5. very similar	2	4	1. very dissimilar	1. very dissimilar	2	2	1. very dissimilar	2	1. very dissimilar	4	2	1. very dissimilar	3	5. very similar	3	4	2	2	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	4	3	3	2	5. very similar	2	1. very dissimilar	3	4	1. very dissimilar	4	3	1. very dissimilar	3	2	1. very dissimilar	26-35
82	Frequent user	Male	Europe	No	5. very similar	5. very similar	4	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	4	5. very similar	1. very dissimilar	4	3	1. very dissimilar	1. very dissimilar	3	5. very similar	4	2	1. very dissimilar	4	5. very similar	5. very similar	2	2	5. very similar	3	1. very dissimilar	5. very similar	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	5. very similar	4	5. very similar	1. very dissimilar	5. very similar	5. very similar	5. very similar	1. very dissimilar	5. very similar	5. very similar	3	4	4	5. very similar	26-35
83	Expert	Male	Europe	No	5. very similar	2	1. very dissimilar	3	2	1. very dissimilar	3	4	1. very dissimilar	3	2	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	4	4	2	1. very dissimilar	2	5. very similar	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	4	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	36-45
84	Expert	Male	Europe	No	5. very similar	5. very similar	1. very dissimilar	4	2	1. very dissimilar	3	5. very similar	1. very dissimilar	3	4	3	2	1. very dissimilar	1. very dissimilar	no answer	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	4	4	4	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	3	4	3	1. very dissimilar	3	1. very dissimilar	2	3	2	1. very dissimilar	5. very similar	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
85	Frequent user	Male	Asia	No	2	3	1. very dissimilar	5. very similar	2	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	2	1. very dissimilar	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	2	1. very dissimilar	5. very similar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	2	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	2	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	5. very similar	1. very dissimilar	2	26-35
86	Frequent user	Male	Europe	No	5. very similar	5. very similar	1. very dissimilar	4	2	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	3	5. very similar	no answer	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	no answer	3	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	4	2	1. very dissimilar	5. very similar	4	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
87	Never used	Female	Europe	Yes	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	3	2	5. very similar	2	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	4	5. very similar	1. very dissimilar	4	1. very dissimilar	2	3	1. very dissimilar	1. very dissimilar	26-35
88	Expert	Male	Europe	Yes	4	4	2	5. very similar	3	1. very dissimilar	5. very similar	5. very similar	2	5. very similar	3	3	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	5. very similar	4	1. very dissimilar	3	5. very similar	5. very similar	4	1. very dissimilar	4	5. very similar	2	1. very dissimilar	3	2	4	4	1. very dissimilar	2	5. very similar	5. very similar	3	4	1. very dissimilar	4	4	4	1. very dissimilar	5. very similar	4	2	5. very similar	2	2	26-35
89	Expert	Male	Asia	Yes	3	1. very dissimilar	4	5. very similar	3	1. very dissimilar	5. very similar	5. very similar	3	4	3	3	3	2	1. very dissimilar	2	3	5. very similar	4	2	2	4	4	4	2	2	5. very similar	3	1. very dissimilar	3	3	2	4	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	3	3	3	3	5. very similar	2	3	5. very similar	4	2	5. very similar	4	3	26-35
90	Expert	Male	North America	Yes	4	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	4	4	2	2	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	2	3	3	2	1. very dissimilar	3	5. very similar	2	1. very dissimilar	2	1. very dissimilar	2	3	1. very dissimilar	1. very dissimilar	5. very similar	4	2	2	1. very dissimilar	2	4	2	1. very dissimilar	5. very similar	2	1. very dissimilar	4	2	1. very dissimilar	36-45
91	Expert	Male	Europe	No	5. very similar	3	2	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	3	3	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	no answer	3	no answer	2	4	4	4	no answer	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	2	1. very dissimilar	1. very dissimilar	3	5. very similar	3	1. very dissimilar	5. very similar	3	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
92	Expert	Male	Europe	Yes	3	2	1. very dissimilar	3	3	1. very dissimilar	3	3	1. very dissimilar	2	1. very dissimilar	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	2	3	3	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	3	3	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	26-35
93	Expert	Male	Europe	No	5. very similar	4	2	5. very similar	4	3	4	5. very similar	1. very dissimilar	5. very similar	2	3	5. very similar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	5. very similar	5. very similar	4	4	1. very dissimilar	5. very similar	5. very similar	3	1. very dissimilar	3	1. very dissimilar	4	5. very similar	1. very dissimilar	3	5. very similar	3	1. very dissimilar	3	1. very dissimilar	5. very similar	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	18-25
94	Expert	Male	Europe	No	5. very similar	4	2	5. very similar	4	2	5. very similar	5. very similar	2	4	2	4	4	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	3	5. very similar	5. very similar	3	2	4	5. very similar	2	1. very dissimilar	3	2	3	4	1. very dissimilar	2	5. very similar	4	2	4	1. very dissimilar	3	5. very similar	4	2	5. very similar	4	2	5. very similar	2	1. very dissimilar	26-35
95	Expert	Male	Europe	No	4	3	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	2	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	1. very dissimilar	2	5. very similar	4	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	4	1. very dissimilar	2	5. very similar	2	1. very dissimilar	5. very similar	3	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
96	Expert	Male	Europe	No	4	3	1. very dissimilar	5. very similar	4	1. very dissimilar	5. very similar	4	1. very dissimilar	4	2	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	3	3	4	2	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	4	5. very similar	1. very dissimilar	2	1. very dissimilar	2	5. very similar	4	1. very dissimilar	4	3	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
97	Expert	Male	North America	Yes	5. very similar	3	2	5. very similar	4	2	4	4	1. very dissimilar	4	3	2	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	3	4	3	2	2	3	5. very similar	2	1. very dissimilar	1. very dissimilar	2	2	4	1. very dissimilar	2	5. very similar	4	1. very dissimilar	2	3	3	4	3	1. very dissimilar	5. very similar	4	2	4	1. very dissimilar	1. very dissimilar	26-35
98	Expert	Male	Europe	No	4	2	1. very dissimilar	5. very similar	4	1. very dissimilar	4	4	1. very dissimilar	2	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	4	4	1. very dissimilar	3	5. very similar	1. very dissimilar	no answer	1. very dissimilar	1. very dissimilar	2	4	1. very dissimilar	2	4	3	2	4	1. very dissimilar	3	4	2	1. very dissimilar	4	3	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
99	Expert	Male	Europe	No	4	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	26-35
100	Frequent user	Male	Europe	Yes	4	4	4	4	4	3	5. very similar	5. very similar	1. very dissimilar	5. very similar	4	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	3	4	4	1. very dissimilar	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	no answer	5. very similar	4	1. very dissimilar	3	1. very dissimilar	4	4	3	1. very dissimilar	4	4	no answer	3	1. very dissimilar	1. very dissimilar	36-45
101	Expert	Male	North America	Yes	5. very similar	2	2	5. very similar	3	1. very dissimilar	5. very similar	5. very similar	3	5. very similar	2	2	4	1. very dissimilar	1. very dissimilar	2	2	5. very similar	3	2	3	5. very similar	4	4	2	4	5. very similar	3	1. very dissimilar	3	2	2	4	1. very dissimilar	2	4	3	4	1. very dissimilar	1. very dissimilar	4	5. very similar	4	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	3	1. very dissimilar	18-25
102	Frequent user	Male	Europe	No	5. very similar	1. very dissimilar	2	4	4	1. very dissimilar	4	3	2	3	no answer	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	1. very dissimilar	4	4	3	1. very dissimilar	4	5. very similar	2	1. very dissimilar	3	2	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	2	1. very dissimilar	2	4	4	1. very dissimilar	4	4	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	46-55
103	Frequent user	Male	Europe	Yes	3	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	3	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	26-35
104	Frequent user	Male	North America	Yes	2	1. very dissimilar	2	4	2	1. very dissimilar	3	4	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	2	3	2	2	1. very dissimilar	2	5. very similar	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	18-25
105	Expert	Male	Europe	No	3	2	1. very dissimilar	4	3	1. very dissimilar	4	3	2	2	2	2	2	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	3	2	1. very dissimilar	2	3	2	2	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	2	3	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	3	1. very dissimilar	2	4	3	1. very dissimilar	4	4	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	26-35
106	Expert	Male	North America	Yes	5. very similar	4	1. very dissimilar	4	4	1. very dissimilar	4	4	1. very dissimilar	4	4	2	2	2	1. very dissimilar	1. very dissimilar	2	5. very similar	2	1. very dissimilar	1. very dissimilar	4	3	3	1. very dissimilar	4	5. very similar	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	2	4	1. very dissimilar	1. very dissimilar	4	4	4	3	2	4	4	2	2	5. very similar	4	1. very dissimilar	5. very similar	1. very dissimilar	1. very dissimilar	26-35
107	Frequent user	Male	Europe	No	5. very similar	2	2	5. very similar	5. very similar	1. very dissimilar	5. very similar	5. very similar	1. very dissimilar	5. very similar	3	2	4	3	1. very dissimilar	1. very dissimilar	2	4	4	no answer	1. very dissimilar	4	5. very similar	5. very similar	1. very dissimilar	3	5. very similar	2	1. very dissimilar	2	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	2	2	5. very similar	1. very dissimilar	3	4	4	1. very dissimilar	5. very similar	5. very similar	2	5. very similar	1. very dissimilar	1. very dissimilar	26-35
108	Frequent user	Male	Europe	No	5. very similar	3	1. very dissimilar	5. very similar	4	3	5. very similar	5. very similar	1. very dissimilar	4	2	4	5. very similar	4	2	1. very dissimilar	1. very dissimilar	4	5. very similar	no answer	3	5. very similar	4	4	1. very dissimilar	2	5. very similar	1. very dissimilar	1. very dissimilar	4	4	4	5. very similar	1. very dissimilar	3	5. very similar	1. very dissimilar	3	4	1. very dissimilar	4	5. very similar	4	1. very dissimilar	5. very similar	4	4	4	2	1. very dissimilar	36-45
109	Expert	Male	South America	No	1. very dissimilar	3	1. very dissimilar	5. very similar	no answer	1. very dissimilar	5. very similar	3	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	1. very dissimilar	no answer	1. very dissimilar	3	2	1. very dissimilar	1. very dissimilar	2	3	no answer	no answer	3	4	1. very dissimilar	no answer	1. very dissimilar	no answer	no answer	2	1. very dissimilar	1. very dissimilar	5. very similar	3	1. very dissimilar	no answer	1. very dissimilar	1. very dissimilar	3	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	1. very dissimilar	4	1. very dissimilar	1. very dissimilar	26-35
110	Occasional user	Female	Europe	Yes	4	3	1. very dissimilar	4	4	1. very dissimilar	5. very similar	4	2	4	1. very dissimilar	1. very dissimilar	4	3	1. very dissimilar	1. very dissimilar	1. very dissimilar	4	4	1. very dissimilar	no answer	5. very similar	4	4	1. very dissimilar	3	4	1. very dissimilar	1. very dissimilar	2	1. very dissimilar	3	5. very similar	1. very dissimilar	1. very dissimilar	5. very similar	4	1. very dissimilar	3	1. very dissimilar	2	4	4	4	5. very similar	4	2	4	1. very dissimilar	1. very dissimilar	56-65
