id	expertise	gender	continent	lang	QA-pairs [1]	QA-pairs [2]	QA-pairs [3]	QA-pairs [4]	QA-pairs [5]	QA-pairs [6]	QA-pairs [7]	QA-pairs [8]	QA-pairs [9]	QA-pairs [10]	QA-pairs [11]	QA-pairs [12]	QA-pairs [13]	QA-pairs [14]	QA-pairs [15]	QA-pairs [16]	QA-pairs [17]	QA-pairs [18]	QA-pairs [19]	QA-pairs [20]	QA-pairs [21]	QA-pairs [22]	QA-pairs [23]	QA-pairs [24]	QA-pairs [25]	QA-pairs [26]	QA-pairs [27]	QA-pairs [28]	QA-pairs [29]	QA-pairs [30]	QA-pairs [31]	QA-pairs [32]	QA-pairs [33]	QA-pairs [34]	QA-pairs [35]	QA-pairs [36]	QA-pairs [37]	QA-pairs [38]	QA-pairs [39]	QA-pairs [40]	QA-pairs [41]	QA-pairs [42]	QA-pairs [43]	QA-pairs [44]	QA-pairs [45]	QA-pairs [46]	QA-pairs [47]	QA-pairs [48]	QA-pairs [49]	QA-pairs [50]	age
57	Expert	Male	Asia	No	4	2	2	5. very related	2	2	4	3	1. very unrelated	2	3	3	2	3	1. very unrelated	1. very unrelated	2	4	5. very related	2	2	3	3	3	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	3	2	1. very unrelated	3	1. very unrelated	3	5. very related	5. very related	2	4	1. very unrelated	2	5. very related	2	3	5. very related	3	2	3	2	2	36-45
59	Frequent user	Male	Europe	Yes	5. very related	4	1. very unrelated	4	2	3	2	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	3	4	1. very unrelated	1. very unrelated	1. very unrelated	3	2	1. very unrelated	1. very unrelated	5. very related	3	2	1. very unrelated	3	4	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	4	5. very related	2	1. very unrelated	5. very related	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	2	4	1. very unrelated	3	1. very unrelated	1. very unrelated	46-55
60	Frequent user	Male	Europe	No	5. very related	4	1. very unrelated	5. very related	3	1. very unrelated	5. very related	5. very related	1. very unrelated	5. very related	1. very unrelated	2	3	4	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	2	5. very related	4	4	no answer	3	5. very related	1. very unrelated	1. very unrelated	3	1. very unrelated	3	5. very related	1. very unrelated	2	5. very related	5. very related	2	5. very related	1. very unrelated	3	5. very related	5. very related	2	5. very related	4	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	26-35
61	Expert	Male	Oceania	Yes	5. very related	3	2	5. very related	2	3	3	4	2	4	1. very unrelated	3	2	2	2	1. very unrelated	1. very unrelated	3	2	1. very unrelated	2	3	3	4	1. very unrelated	3	5. very related	2	1. very unrelated	4	1. very unrelated	3	3	1. very unrelated	2	4	4	4	5. very related	1. very unrelated	5. very related	5. very related	4	1. very unrelated	5. very related	2	1. very unrelated	2	1. very unrelated	1. very unrelated	36-45
62	Frequent user	Male	North America	Yes	4	3	1. very unrelated	3	2	1. very unrelated	3	4	1. very unrelated	4	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	3	1. very unrelated	1. very unrelated	4	4	2	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	2	2	1. very unrelated	1. very unrelated	4	4	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	4	3	2	5. very related	1. very unrelated	1. very unrelated	2	2	1. very unrelated	36-45
63	Frequent user	Female	Europe	No	3	no answer	1. very unrelated	3	no answer	1. very unrelated	3	5. very related	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	3	3	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	3	1. very unrelated	1. very unrelated	5. very related	5. very related	5. very related	1. very unrelated	5. very related	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	no answer	3	1. very unrelated	1. very unrelated	5. very related	5. very related	1. very unrelated	5. very related	2	1. very unrelated	5. very related	5. very related	3	5. very related	5. very related	3	5. very related	1. very unrelated	1. very unrelated	26-35
64	Frequent user	Male	Europe	Yes	5. very related	4	2	4	4	2	4	4	1. very unrelated	4	3	4	4	3	1. very unrelated	1. very unrelated	2	4	4	1. very unrelated	3	4	5. very related	4	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	4	4	1. very unrelated	2	5. very related	4	3	5. very related	2	3	5. very related	4	1. very unrelated	4	4	3	4	1. very unrelated	1. very unrelated	26-35
65	Frequent user	Male	North America	Yes	4	4	no answer	2	3	3	4	4	no answer	4	1. very unrelated	1. very unrelated	1. very unrelated	3	1. very unrelated	no answer	no answer	5. very related	4	no answer	no answer	5. very related	5. very related	1. very unrelated	no answer	1. very unrelated	5. very related	no answer	no answer	no answer	1. very unrelated	4	3	no answer	no answer	5. very related	4	no answer	4	no answer	5. very related	4	1. very unrelated	no answer	5. very related	4	3	4	no answer	1. very unrelated	36-45
66	Frequent user	Male	Europe	Yes	5. very related	4	1. very unrelated	5. very related	5. very related	1. very unrelated	4	3	1. very unrelated	4	1. very unrelated	1. very unrelated	4	3	1. very unrelated	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	3	5. very related	5. very related	4	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	5. very related	3	1. very unrelated	4	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	2	1. very unrelated	1. very unrelated	>65
67	Expert	Male	Europe	Yes	4	5. very related	3	5. very related	4	3	5. very related	3	1. very unrelated	4	2	4	4	4	1. very unrelated	1. very unrelated	1. very unrelated	4	3	1. very unrelated	3	4	4	2	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	2	2	3	3	1. very unrelated	2	5. very related	4	3	4	2	4	5. very related	3	1. very unrelated	5. very related	3	2	4	1. very unrelated	1. very unrelated	36-45
68	Frequent user	Male	Oceania	Yes	3	5. very related	3	4	3	4	4	4	1. very unrelated	5. very related	2	3	3	4	3	2	1. very unrelated	5. very related	4	1. very unrelated	2	5. very related	4	4	1. very unrelated	5. very related	4	2	1. very unrelated	2	1. very unrelated	5. very related	4	1. very unrelated	5. very related	5. very related	3	2	5. very related	2	5. very related	5. very related	1. very unrelated	2	4	4	2	1. very unrelated	3	1. very unrelated	56-65
69	Expert	Male	Europe	No	4	4	3	4	4	3	3	4	2	4	2	4	4	3	3	2	2	4	4	2	3	3	4	3	2	3	5. very related	3	2	3	3	3	4	2	3	4	4	2	4	2	4	4	3	2	3	4	3	4	3	2	46-55
70	Expert	Male	Europe	No	5. very related	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	3	5. very related	1. very unrelated	4	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	no answer	1. very unrelated	1. very unrelated	1. very unrelated	2	2	no answer	no answer	3	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	3	1. very unrelated	2	1. very unrelated	2	4	3	1. very unrelated	2	2	2	4	1. very unrelated	1. very unrelated	26-35
71	Frequent user	Male	Europe	Yes	4	4	2	4	2	2	5. very related	3	1. very unrelated	3	3	2	3	2	2	1. very unrelated	2	5. very related	2	1. very unrelated	1. very unrelated	3	4	2	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	2	2	2	3	1. very unrelated	3	4	3	3	4	1. very unrelated	2	5. very related	2	1. very unrelated	5. very related	4	2	2	1. very unrelated	1. very unrelated	>65
72	Frequent user	Male	North America	Yes	5. very related	4	1. very unrelated	5. very related	1. very unrelated	3	4	5. very related	1. very unrelated	3	2	2	3	3	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	5. very related	1. very unrelated	1. very unrelated	5. very related	3	2	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	4	5. very related	2	1. very unrelated	2	2	1. very unrelated	5. very related	2	2	3	3	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	56-65
73	Expert	Male	Oceania	Yes	5. very related	3	1. very unrelated	5. very related	3	2	5. very related	5. very related	2	4	1. very unrelated	3	4	3	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	2	4	5. very related	4	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	2	2	2	3	1. very unrelated	3	5. very related	3	1. very unrelated	4	1. very unrelated	2	5. very related	4	1. very unrelated	4	4	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	36-45
74	Frequent user	Male	Oceania	Yes	3	2	1. very unrelated	3	2	1. very unrelated	4	4	1. very unrelated	3	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	3	1. very unrelated	2	2	3	2	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	3	4	1. very unrelated	2	1. very unrelated	1. very unrelated	3	2	1. very unrelated	3	3	1. very unrelated	4	1. very unrelated	1. very unrelated	46-55
75	Frequent user	Male	Oceania	Yes	5. very related	5. very related	3	5. very related	5. very related	4	5. very related	5. very related	2	5. very related	4	3	3	3	1. very unrelated	1. very unrelated	2	5. very related	4	1. very unrelated	1. very unrelated	5. very related	5. very related	4	1. very unrelated	3	5. very related	2	1. very unrelated	3	2	5. very related	5. very related	1. very unrelated	4	5. very related	4	3	5. very related	3	5. very related	5. very related	2	1. very unrelated	5. very related	5. very related	5. very related	5. very related	2	1. very unrelated	46-55
76	Expert	Male	Oceania	Yes	3	3	1. very unrelated	5. very related	3	3	3	1. very unrelated	1. very unrelated	5. very related	2	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	3	3	3	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	3	4	3	1. very unrelated	5. very related	1. very unrelated	5. very related	3	1. very unrelated	1. very unrelated	1. very unrelated	3	2	1. very unrelated	3	1. very unrelated	36-45
77	Expert	Male	Europe	No	3	1. very unrelated	1. very unrelated	4	4	2	3	4	1. very unrelated	4	1. very unrelated	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	2	2	1. very unrelated	1. very unrelated	2	4	3	1. very unrelated	1. very unrelated	3	1. very unrelated	1. very unrelated	3	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	4	2	1. very unrelated	3	1. very unrelated	1. very unrelated	3	2	1. very unrelated	2	4	4	3	2	1. very unrelated	26-35
78	Expert	Male	Oceania	Yes	1. very unrelated	3	2	4	4	no answer	5. very related	5. very related	no answer	4	1. very unrelated	1. very unrelated	1. very unrelated	2	no answer	no answer	no answer	4	4	no answer	no answer	2	3	2	no answer	2	5. very related	2	no answer	4	no answer	1. very unrelated	2	no answer	2	5. very related	5. very related	1. very unrelated	1. very unrelated	2	2	3	3	no answer	5. very related	5. very related	no answer	4	no answer	no answer	26-35
79	Frequent user	Male	Oceania	Yes	5. very related	3	2	4	2	2	3	5. very related	1. very unrelated	3	2	2	3	2	2	1. very unrelated	1. very unrelated	3	4	1. very unrelated	2	3	4	3	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	3	1. very unrelated	2	4	4	1. very unrelated	3	1. very unrelated	2	5. very related	2	1. very unrelated	4	3	2	3	1. very unrelated	1. very unrelated	>65
80	Frequent user	Male	Europe	Yes	5. very related	3	2	5. very related	2	1. very unrelated	5. very related	3	1. very unrelated	5. very related	2	2	3	4	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	2	4	5. very related	5. very related	1. very unrelated	4	5. very related	2	1. very unrelated	1. very unrelated	1. very unrelated	2	5. very related	1. very unrelated	2	4	5. very related	1. very unrelated	4	1. very unrelated	3	5. very related	2	1. very unrelated	5. very related	5. very related	2	3	1. very unrelated	1. very unrelated	36-45
81	Expert	Male	Europe	No	5. very related	3	2	5. very related	4	1. very unrelated	5. very related	5. very related	1. very unrelated	5. very related	1. very unrelated	3	4	2	1. very unrelated	1. very unrelated	1. very unrelated	4	3	1. very unrelated	3	5. very related	5. very related	4	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	3	4	1. very unrelated	2	5. very related	2	2	4	2	2	5. very related	4	1. very unrelated	5. very related	4	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	26-35
82	Frequent user	Male	North America	Yes	5. very related	4	2	5. very related	5. very related	4	5. very related	5. very related	3	5. very related	3	1. very unrelated	4	4	2	1. very unrelated	1. very unrelated	5. very related	5. very related	1. very unrelated	2	4	4	4	1. very unrelated	5. very related	5. very related	2	1. very unrelated	3	3	4	4	1. very unrelated	5. very related	5. very related	4	2	5. very related	3	5. very related	5. very related	5. very related	1. very unrelated	5. very related	5. very related	4	4	1. very unrelated	1. very unrelated	26-35
83	Frequent user	Male	North America	Yes	4	2	1. very unrelated	4	4	1. very unrelated	4	5. very related	2	3	1. very unrelated	2	3	2	1. very unrelated	1. very unrelated	1. very unrelated	4	2	1. very unrelated	1. very unrelated	5. very related	5. very related	3	2	3	5. very related	3	1. very unrelated	3	1. very unrelated	2	4	1. very unrelated	3	5. very related	4	2	4	1. very unrelated	3	5. very related	3	2	5. very related	5. very related	1. very unrelated	4	2	2	18-25
84	Frequent user	Male	Europe	No	5. very related	5. very related	1. very unrelated	5. very related	5. very related	3	3	4	1. very unrelated	5. very related	4	2	5. very related	3	1. very unrelated	2	1. very unrelated	4	4	4	3	4	5. very related	4	3	5. very related	4	1. very unrelated	1. very unrelated	2	1. very unrelated	2	5. very related	1. very unrelated	2	4	4	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	4	5. very related	5. very related	4	1. very unrelated	1. very unrelated	56-65
85	Frequent user	Female	Europe	Yes	5. very related	4	1. very unrelated	5. very related	2	3	4	3	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	2	4	2	1. very unrelated	1. very unrelated	4	4	1. very unrelated	1. very unrelated	5. very related	4	4	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	2	3	2	2	1. very unrelated	4	5. very related	3	1. very unrelated	5. very related	1. very unrelated	2	4	2	1. very unrelated	5. very related	2	4	5. very related	1. very unrelated	1. very unrelated	18-25
86		N/A	Europe	N/A																										2																3									
87	Frequent user	Male	Europe	Yes	5. very related	5. very related	1. very unrelated	5. very related	5. very related	3	5. very related	5. very related	1. very unrelated	4	3	3	5. very related	3	2	1. very unrelated	2	5. very related	2	1. very unrelated	1. very unrelated	5. very related	5. very related	4	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	3	2	5. very related	4	1. very unrelated	3	5. very related	5. very related	1. very unrelated	5. very related	2	2	5. very related	1. very unrelated	1. very unrelated	5. very related	4	2	5. very related	1. very unrelated	1. very unrelated	18-25
88	Occasional user	Male	Oceania	Yes	5. very related	5. very related	1. very unrelated	4	2	3	5. very related	5. very related	1. very unrelated	4	2	2	4	5. very related	1. very unrelated	4	1. very unrelated	5. very related	5. very related	1. very unrelated	5. very related	4	5. very related	5. very related	1. very unrelated	5. very related	5. very related	1. very unrelated	1. very unrelated	2	2	4	5. very related	1. very unrelated	5. very related	5. very related	4	1. very unrelated	5. very related	1. very unrelated	5. very related	5. very related	5. very related	1. very unrelated	4	5. very related	2	5. very related	1. very unrelated	1. very unrelated	46-55
89	Expert	Male	Europe	Yes	3	2	1. very unrelated	2	3	1. very unrelated	4	3	1. very unrelated	2	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	2	1. very unrelated	1. very unrelated	3	2	2	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	3	1. very unrelated	2	1. very unrelated	1. very unrelated	4	2	1. very unrelated	3	2	1. very unrelated	2	1. very unrelated	1. very unrelated	46-55
90	Expert	Male	Europe	Yes	4	3	2	3	2	4	1. very unrelated	3	3	2	2	3	3	4	2	2	2	2	3	2	2	2	2	2	1. very unrelated	2	3	3	2	2	3	3	3	2	3	4	3	3	5. very related	2	2	3	3	3	3	2	2	4	1. very unrelated	2	36-45
91	Frequent user	Male	Oceania	Yes	4	3	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	5. very related	5. very related	2	5. very related	2	3	5. very related	5. very related	1. very unrelated	2	1. very unrelated	5. very related	3	1. very unrelated	1. very unrelated	5. very related	4	2	1. very unrelated	1. very unrelated	4	2	1. very unrelated	3	2	4	4	1. very unrelated	4	5. very related	4	3	5. very related	2	4	5. very related	1. very unrelated	1. very unrelated	5. very related	3	1. very unrelated	4	3	2	>65
92	Frequent user	Male	Europe	Yes	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	3	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	3	3	2	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	2	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	18-25
93	Frequent user	Female	Oceania	Yes	4	3	1. very unrelated	5. very related	3	2	3	5. very related	1. very unrelated	5. very related	1. very unrelated	3	4	2	1. very unrelated	1. very unrelated	1. very unrelated	4	3	1. very unrelated	2	5. very related	3	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	3	1. very unrelated	3	4	1. very unrelated	2	5. very related	3	1. very unrelated	4	1. very unrelated	3	3	4	1. very unrelated	5. very related	3	2	2	1. very unrelated	1. very unrelated	26-35
94	Expert	Male	Europe	Yes	4	5. very related	2	5. very related	2	3	5. very related	5. very related	2	4	3	2	4	3	2	2	1. very unrelated	4	5. very related	1. very unrelated	4	4	5. very related	3	2	2	5. very related	2	1. very unrelated	3	2	3	4	1. very unrelated	2	5. very related	5. very related	2	5. very related	2	3	5. very related	2	2	4	4	3	5. very related	1. very unrelated	1. very unrelated	36-45
95	Frequent user	Male	Europe	Yes	4	5. very related	2	4	4	3	5. very related	4	2	4	2	3	4	4	2	1. very unrelated	3	3	3	2	2	3	3	2	2	4	5. very related	2	1. very unrelated	3	2	3	4	1. very unrelated	3	4	4	2	3	2	4	4	3	2	5. very related	3	3	5. very related	1. very unrelated	1. very unrelated	18-25
96	Frequent user	Male	Europe	Yes	3	4	1. very unrelated	4	4	4	4	4	2	4	3	3	4	4	3	1. very unrelated	1. very unrelated	4	3	2	2	5. very related	5. very related	3	1. very unrelated	3	4	1. very unrelated	1. very unrelated	2	2	4	4	1. very unrelated	4	4	4	3	4	2	5. very related	5. very related	2	1. very unrelated	5. very related	3	4	4	1. very unrelated	1. very unrelated	18-25
97	Never used	Male	Europe	Yes	3	3	1. very unrelated	4	4	4	4	2	1. very unrelated	5. very related	2	2	3	4	2	1. very unrelated	1. very unrelated	5. very related	3	1. very unrelated	3	4	4	3	1. very unrelated	2	4	1. very unrelated	1. very unrelated	3	1. very unrelated	3	4	1. very unrelated	4	5. very related	4	2	3	2	4	4	3	3	4	3	3	3	1. very unrelated	1. very unrelated	18-25
98	Occasional user	Male	Europe	Yes	2	5. very related	1. very unrelated	4	3	4	2	5. very related	1. very unrelated	2	2	2	3	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	4	4	1. very unrelated	1. very unrelated	4	3	1. very unrelated	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	4	5. very related	1. very unrelated	4	3	1. very unrelated	2	5. very related	1. very unrelated	2	3	2	1. very unrelated	4	2	3	3	1. very unrelated	1. very unrelated	26-35
99	Occasional user	Male	Europe	Yes	2	5. very related	1. very unrelated	5. very related	no answer	2	no answer	4	2	4	1. very unrelated	4	4	3	2	4	2	no answer	4	1. very unrelated	4	5. very related	5. very related	2	2	4	3	4	1. very unrelated	2	2	4	no answer	1. very unrelated	4	3	5. very related	4	5. very related	5. very related	4	5. very related	no answer	1. very unrelated	5. very related	4	2	5. very related	1. very unrelated	1. very unrelated	18-25
100	Occasional user	Male	Europe	No	3	4	1. very unrelated	4	2	3	2	2	1. very unrelated	1. very unrelated	2	2	1. very unrelated	3	2	2	3	2	3	2	4	3	3	2	2	3	4	2	1. very unrelated	1. very unrelated	2	2	4	1. very unrelated	2	3	2	2	4	4	1. very unrelated	2	3	2	2	2	1. very unrelated	1. very unrelated	3	1. very unrelated	18-25
101	Expert	Male	Europe	Yes	5. very related	5. very related	1. very unrelated	5. very related	4	3	4	3	1. very unrelated	5. very related	3	3	3	4	4	1. very unrelated	1. very unrelated	4	2	1. very unrelated	3	4	5. very related	3	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	2	2	5. very related	5. very related	1. very unrelated	4	4	4	4	5. very related	1. very unrelated	3	4	2	1. very unrelated	5. very related	3	3	4	3	1. very unrelated	26-35
102	Never used	Male	Europe	Yes	3	4	1. very unrelated	5. very related	4	1. very unrelated	5. very related	5. very related	1. very unrelated	4	1. very unrelated	4	4	3	2	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	4	5. very related	4	1. very unrelated	2	4	1. very unrelated	1. very unrelated	2	2	1. very unrelated	5. very related	1. very unrelated	3	5. very related	4	1. very unrelated	5. very related	1. very unrelated	3	5. very related	2	1. very unrelated	4	5. very related	3	5. very related	1. very unrelated	1. very unrelated	18-25
103	Frequent user	Female	Europe	Yes	4	4	3	4	4	2	5. very related	5. very related	2	5. very related	2	2	4	2	2	1. very unrelated	1. very unrelated	5. very related	4	2	2	3	5. very related	4	1. very unrelated	3	5. very related	4	1. very unrelated	3	1. very unrelated	3	4	1. very unrelated	2	4	4	2	3	2	2	5. very related	4	2	4	2	3	4	1. very unrelated	2	18-25
104	Never used	Male	Europe	Yes	4	2	1. very unrelated	4	2	2	3	2	1. very unrelated	3	3	1. very unrelated	2	3	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	2	1. very unrelated	1. very unrelated	3	5. very related	3	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	1. very unrelated	1. very unrelated	2	2	1. very unrelated	2	5. very related	3	1. very unrelated	5. very related	2	2	5. very related	2	1. very unrelated	4	3	2	3	1. very unrelated	1. very unrelated	46-55
105	Never used	Female	Europe	Yes	4	5. very related	1. very unrelated	5. very related	4	3	4	5. very related	1. very unrelated	4	3	3	4	5. very related	2	1. very unrelated	2	1. very unrelated	5. very related	1. very unrelated	3	5. very related	5. very related	4	1. very unrelated	3	5. very related	1. very unrelated	1. very unrelated	3	3	5. very related	3	1. very unrelated	5. very related	5. very related	5. very related	4	5. very related	1. very unrelated	5. very related	5. very related	2	1. very unrelated	4	4	3	3	1. very unrelated	1. very unrelated	46-55
106	Occasional user	Male	Europe	Yes	5. very related	5. very related	1. very unrelated	5. very related	4	4	4	5. very related	1. very unrelated	5. very related	2	3	4	4	3	1. very unrelated	1. very unrelated	4	2	2	3	4	4	3	1. very unrelated	4	4	1. very unrelated	1. very unrelated	3	2	4	4	1. very unrelated	4	5. very related	4	1. very unrelated	5. very related	2	5. very related	4	3	1. very unrelated	4	5. very related	4	5. very related	1. very unrelated	1. very unrelated	18-25
107	Occasional user	Male	Europe	Yes	4	3	2	3	3	3	4	4	1. very unrelated	3	3	3	3	3	2	1. very unrelated	2	3	4	1. very unrelated	1. very unrelated	4	4	3	1. very unrelated	4	4	1. very unrelated	1. very unrelated	3	2	2	3	1. very unrelated	3	4	3	2	3	2	3	4	2	2	4	3	1. very unrelated	5. very related	1. very unrelated	2	18-25
108	Occasional user	Female	Europe	Yes	4	4	1. very unrelated	2	2	3	1. very unrelated	2	1. very unrelated	4	1. very unrelated	2	2	2	2	1. very unrelated	1. very unrelated	2	4	1. very unrelated	1. very unrelated	2	3	4	1. very unrelated	1. very unrelated	4	1. very unrelated	3	1. very unrelated	1. very unrelated	2	2	1. very unrelated	2	3	2	1. very unrelated	4	1. very unrelated	1. very unrelated	2	1. very unrelated	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	4	1. very unrelated	1. very unrelated	26-35
109	Occasional user	Male	Europe	Yes	2	5. very related	2	5. very related	4	4	5. very related	3	1. very unrelated	5. very related	4	3	4	3	2	3	1. very unrelated	4	2	4	3	4	5. very related	2	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	3	1. very unrelated	4	3	1. very unrelated	5. very related	4	4	2	3	3	5. very related	5. very related	3	1. very unrelated	4	4	5. very related	3	1. very unrelated	1. very unrelated	18-25
110	Occasional user	Male	Europe	Yes	3	4	2	4	4	4	3	4	2	4	3	4	3	4	3	2	2	4	3	2	4	4	4	3	2	3	4	2	2	2	3	4	4	2	4	4	4	3	4	2	3	4	3	2	4	4	4	4	2	2	18-25
111	Occasional user	Male	Europe	Yes	no answer	no answer	2	4	3	2	3	3	1. very unrelated	4	2	2	2	no answer	1. very unrelated	1. very unrelated	1. very unrelated	5. very related	3	1. very unrelated	1. very unrelated	3	3	3	1. very unrelated	2	5. very related	1. very unrelated	1. very unrelated	1. very unrelated	2	5. very related	4	1. very unrelated	3	5. very related	4	1. very unrelated	5. very related	2	2	5. very related	3	1. very unrelated	5. very related	2	2	5. very related	1. very unrelated	1. very unrelated	18-25
112	Never used	Male	Europe	Yes	3	5. very related	1. very unrelated	5. very related	3	3	3	4	1. very unrelated	4	3	3	4	4	2	1. very unrelated	1. very unrelated	5. very related	4	1. very unrelated	4	5. very related	5. very related	3	2	4	5. very related	1. very unrelated	1. very unrelated	2	3	4	4	2	3	5. very related	4	1. very unrelated	5. very related	2	4	5. very related	4	1. very unrelated	5. very related	5. very related	4	5. very related	1. very unrelated	2	18-25
113	Occasional user	Male	Europe	Yes	4	4	3	5. very related	3	3	4	3	1. very unrelated	4	2	3	3	3	2	1. very unrelated	2	5. very related	3	1. very unrelated	2	4	5. very related	3	1. very unrelated	3	4	2	1. very unrelated	2	2	3	4	no answer	3	4	4	3	4	2	3	3	3	3	5. very related	5. very related	4	4	2	1. very unrelated	18-25
114	Occasional user	Female	Europe	Yes	5. very related	5. very related	4	2	1. very unrelated	4	4	5. very related	1. very unrelated	5. very related	3	3	3	5. very related	2	2	1. very unrelated	5. very related	1. very unrelated	1. very unrelated	3	5. very related	2	1. very unrelated	1. very unrelated	2	2	1. very unrelated	1. very unrelated	2	1. very unrelated	3	5. very related	1. very unrelated	5. very related	5. very related	2	4	5. very related	2	5. very related	4	2	2	5. very related	5. very related	5. very related	3	4	1. very unrelated	18-25
115	Frequent user	Male	Europe	Yes	5. very related	5. very related	2	5. very related	4	2	5. very related	4	1. very unrelated	3	3	3	4	4	2	1. very unrelated	1. very unrelated	5. very related	3	1. very unrelated	2	4	3	3	1. very unrelated	4	5. very related	1. very unrelated	1. very unrelated	2	1. very unrelated	3	4	1. very unrelated	2	5. very related	2	2	5. very related	2	4	4	5. very related	2	5. very related	5. very related	4	5. very related	1. very unrelated	1. very unrelated	18-25
